[eg-soak] scenario=sc7_h3terminate duration=960s sample=5s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=661683 metrics=127.0.0.1:33383 — soaking 960s
[sc7_h3terminate] t=   545s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   550s rss=   24.9MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   555s rss=   25.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   560s rss=   25.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   565s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   570s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   575s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   580s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   585s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   590s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   595s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   600s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   605s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   610s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   615s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   620s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   625s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   630s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   635s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   640s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   645s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   650s rss=   25.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   655s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   660s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   665s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   670s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   675s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   680s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   685s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   690s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   695s rss=   25.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   700s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   705s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   710s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   715s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   720s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   725s rss=   25.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   730s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   735s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   740s rss=   25.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   745s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   750s rss=   25.8MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   755s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   760s rss=   25.2MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   765s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   770s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   775s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   780s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   785s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   790s rss=   25.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   795s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   800s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   805s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   810s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   815s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   820s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   825s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   830s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   835s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   840s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   845s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   850s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   855s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   860s rss=   25.1MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   865s rss=   25.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   870s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   875s rss=   25.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   880s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   885s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   890s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   895s rss=   25.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   900s rss=   25.2MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   905s rss=   25.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   910s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   915s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   920s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   925s rss=   24.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   930s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   935s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   940s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   945s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   950s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   955s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   960s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
=== SOAK sc7_h3terminate — BOUNDED (960s, 193 samples) ===
      rss_kb [BOUNDED] rss_kb: bounded — last-third median 25518 vs first-third 25206 (+1.2%, within band 10% or non-monotone 55%) — first=7752 last=25324 min=7752 max=26776
    vmhwm_kb [BOUNDED] vmhwm_kb: bounded — last-third median 27536 vs first-third 26820 (+2.7%, within band 10% or non-monotone 100%) — first=7752 last=27536 min=7752 max=27536
         fds [BOUNDED] fds: bounded — last-third median 11 vs first-third 11 (+0.0%, within band 10% or non-monotone 94%) — first=11 last=11 min=11 max=12
     threads [BOUNDED] threads: bounded — last-third median 9 vs first-third 9 (+0.0%, within band 10% or non-monotone 100%) — first=9 last=9 min=9 max=9
  panic_total [BOUNDED] panic_total: stayed zero across the run — first=0 last=0 min=0 max=0
  load:
    h3_load: ok=12608 err=0
    h3_reset_flood: ok=24136673 err=0
[eg-soak] DONE scenario=sc7_h3terminate samples=193 overall=BOUNDED
