t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
2730.488,17944,17944,11,9,0,4,0,0
2745.489,17944,17944,11,9,0,4,0,0
2760.492,17944,17944,11,9,0,4,0,0
2775.495,17944,17944,11,9,0,4,0,0
2790.498,17944,17944,11,9,0,4,0,0
2805.499,17944,17944,11,9,0,4,0,0
2820.501,17944,17944,11,9,0,4,0,0
2835.503,17944,17944,11,9,0,4,0,0
2850.505,17944,17944,11,9,0,4,0,0
2865.508,17944,17944,11,9,0,4,0,0
2880.509,17944,17944,11,9,0,4,0,0
2895.512,17944,17944,11,9,0,4,0,0
2910.521,17944,17944,11,9,0,4,0,0
2925.523,17944,17944,11,9,0,4,0,0
2940.525,17944,17944,11,9,0,4,0,0
2955.527,17944,17944,11,9,0,4,0,0
2970.529,17944,17944,11,9,0,4,0,0
2985.530,17944,17944,11,9,0,4,0,0
3000.532,17944,17944,11,9,0,4,0,0
3015.533,17944,17944,11,9,0,4,0,0
3030.535,17944,17944,11,9,0,4,0,0
3045.537,17944,17944,11,9,0,4,0,0
3060.538,17944,17944,11,9,0,4,0,0
3075.540,17944,17944,11,9,0,4,0,0
3090.544,17944,17944,11,9,0,4,0,0
3105.549,17944,17944,11,9,0,4,0,0
3120.551,17944,17944,11,9,0,4,0,0
3135.553,17944,17944,11,9,0,4,0,0
3150.558,17944,17944,11,9,0,4,0,0
3165.564,17944,17944,11,9,0,4,0,0
3180.569,17944,17944,11,9,0,4,0,0
3195.570,17944,17944,11,9,0,4,0,0
3210.573,17944,17944,11,9,0,4,0,0
3225.574,17944,17944,11,9,0,4,0,0
3240.577,17944,17944,11,9,0,4,0,0
3255.581,17944,17944,11,9,0,4,0,0
3270.583,17944,17944,11,9,0,4,0,0
3285.584,17944,17944,11,9,0,4,0,0
3300.586,17944,17944,11,9,0,4,0,0
3315.589,17944,17944,11,9,0,4,0,0
3330.594,17944,17944,11,9,0,4,0,0
3345.596,17944,17944,11,9,0,4,0,0
3360.613,17944,17944,11,9,0,4,0,0
3375.615,17944,17944,11,9,0,4,0,0
3390.617,17944,17944,11,9,0,4,0,0
3405.620,17944,17944,11,9,0,4,0,0
3420.622,17944,17944,11,9,0,4,0,0
