t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
6663.056,32380,36708,21,9,7,0,0,0
6693.070,32740,36708,22,9,11,0,0,0
6723.080,32008,36708,20,9,9,4,0,0
6753.100,31860,36708,23,9,11,4,0,0
6783.113,33348,36708,24,9,12,4,0,0
6813.130,31688,36708,22,9,11,4,0,0
6843.140,32132,36708,20,9,9,0,0,0
6873.149,32140,36708,16,9,5,4,0,0
6903.165,32772,36708,22,9,11,4,0,0
6933.177,31784,36708,20,9,8,0,0,0
6963.184,32100,36708,20,9,9,4,0,0
6993.193,33472,36708,23,9,11,4,0,0
7023.209,32536,36708,21,9,10,0,0,0
7053.222,32028,36708,20,9,7,4,0,0
7083.232,32960,36708,25,9,12,4,0,0
7113.245,33068,36708,25,9,14,4,0,0
7143.257,33052,36708,24,9,13,0,0,0
7173.263,33668,36708,20,9,9,4,0,0
7203.267,35312,36708,23,9,11,4,0,0
7233.268,33236,36708,23,9,11,0,0,0
7263.292,33756,36708,21,9,10,0,0,0
7293.303,33232,36708,22,9,11,0,0,0
7323.316,33452,36708,23,9,12,0,0,0
7353.328,33072,36708,25,9,13,0,0,0
7383.341,33672,36708,24,9,11,4,0,0
7413.356,34656,36708,21,9,8,0,0,0
7443.369,33404,36708,21,9,9,4,0,0
7473.386,33260,36708,22,9,10,0,0,0
7503.402,33276,36708,23,9,10,0,0,0
7533.435,32796,36708,21,9,10,1,0,0
7563.453,32792,36708,25,9,14,4,0,0
7593.478,33876,36708,24,9,12,4,0,0
7623.486,32144,36708,23,9,10,0,0,0
7653.498,32748,36708,21,9,10,4,0,0
7683.511,32816,36708,22,9,10,0,0,0
7713.521,33040,36708,20,9,9,0,0,0
7743.535,32500,36708,19,9,8,4,0,0
7773.556,32820,36708,22,9,11,0,0,0
7803.562,32508,36708,20,9,9,1,0,0
7833.571,32340,36708,20,9,9,4,0,0
7863.583,33164,36708,26,9,11,4,0,0
7893.607,31812,36708,21,9,10,0,0,0
7923.622,34156,36708,21,9,10,4,0,0
7953.627,33296,36708,22,9,8,4,0,0
7983.641,32524,36708,22,9,7,0,0,0
8013.652,32684,36708,21,9,9,0,0,0
8043.665,32040,36708,21,9,10,0,0,0
8073.671,32072,36708,20,9,9,0,0,0
8103.682,32332,36708,21,9,9,0,0,0
8133.701,33200,36708,23,9,12,0,0,0
8163.712,32472,36708,23,9,12,0,0,0
8193.718,32156,36708,22,9,9,4,0,0
8223.722,33140,36708,24,9,11,0,0,0
8253.745,32796,36708,21,9,10,0,0,0
8283.754,32348,36708,21,9,10,2,0,0
8313.765,31980,36708,23,9,12,4,0,0
8343.770,31724,36708,20,9,9,0,0,0
8373.789,32092,36708,20,9,8,0,0,0
8403.809,32008,36708,21,9,10,4,0,0
8433.834,32392,36708,21,9,11,0,0,0
8463.843,33568,36708,24,9,10,0,0,0
8493.852,34232,36708,22,9,10,4,0,0
