[eg-soak] scenario=sc2_h2h2 duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363524 metrics=127.0.0.1:44897 — soaking 7200s
[sc2_h2h2] t=  1276s rss=   26.5MB fds=  28 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1291s rss=   25.9MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1306s rss=   26.9MB fds=  22 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1321s rss=   26.3MB fds=  24 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=  1336s rss=   26.9MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1351s rss=   26.2MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1366s rss=   27.2MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1381s rss=   27.8MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1396s rss=   26.3MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1411s rss=   26.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1426s rss=   27.6MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1441s rss=   27.4MB fds=  22 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=  1456s rss=   27.5MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1471s rss=   27.6MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1486s rss=   27.7MB fds=  26 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1501s rss=   27.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1516s rss=   26.4MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1531s rss=   26.7MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1546s rss=   26.2MB fds=  25 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1561s rss=   26.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1576s rss=   26.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1591s rss=   26.7MB fds=  22 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=  1606s rss=   26.9MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1621s rss=   25.7MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1636s rss=   25.8MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1651s rss=   26.0MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1666s rss=   26.3MB fds=  26 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1681s rss=   27.2MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1699s rss=   25.9MB fds=  22 thr=  9 | accept_inflight=17 panic_total=0
[sc2_h2h2] t=  1714s rss=   28.3MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1729s rss=   28.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1744s rss=   27.9MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1759s rss=   27.9MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1774s rss=   28.2MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1789s rss=   28.5MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1804s rss=   28.6MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1819s rss=   28.3MB fds=  22 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=  1834s rss=   28.7MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1849s rss=   28.9MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1864s rss=   28.8MB fds=  24 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=  1879s rss=   28.2MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1894s rss=   27.8MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1909s rss=   29.3MB fds=  23 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=  1924s rss=   28.3MB fds=  24 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=  1939s rss=   27.9MB fds=  23 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=  1954s rss=   28.0MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1969s rss=   27.5MB fds=  25 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1984s rss=   28.1MB fds=  26 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1999s rss=   28.8MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2014s rss=   27.5MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  2029s rss=   27.7MB fds=  28 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2044s rss=   27.2MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2059s rss=   27.6MB fds=  19 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2074s rss=   27.5MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2089s rss=   27.7MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  2104s rss=   27.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  2119s rss=   27.4MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
