[eg-soak] scenario=sc3_slowloris duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363544 metrics=127.0.0.1:39311 — soaking 7200s
[sc3_slowloris] t=  1171s rss=   62.0MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1186s rss=   61.8MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1201s rss=   61.4MB fds= 525 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=  1216s rss=   61.5MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1231s rss=   61.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1246s rss=   61.1MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1261s rss=   61.1MB fds= 280 thr=  9 | accept_inflight=141 panic_total=0
[sc3_slowloris] t=  1276s rss=   61.1MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1291s rss=   61.1MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1306s rss=   60.3MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1321s rss=   60.4MB fds= 498 thr=  9 | accept_inflight=350 panic_total=0
[sc3_slowloris] t=  1336s rss=   60.4MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1351s rss=   60.4MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1366s rss=   60.4MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1381s rss=   60.4MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1396s rss=   60.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1411s rss=   60.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1426s rss=   60.5MB fds= 274 thr=  9 | accept_inflight=260 panic_total=0
[sc3_slowloris] t=  1441s rss=   61.9MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1456s rss=   61.6MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1471s rss=   61.6MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1486s rss=   61.6MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1501s rss=   61.3MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1516s rss=   62.8MB fds= 527 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=  1531s rss=   62.9MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1546s rss=   63.0MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1561s rss=   63.1MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1576s rss=   62.2MB fds= 294 thr=  9 | accept_inflight=154 panic_total=0
[sc3_slowloris] t=  1591s rss=   62.2MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1606s rss=   62.2MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1621s rss=   62.0MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1636s rss=   62.0MB fds= 463 thr=  9 | accept_inflight=320 panic_total=0
[sc3_slowloris] t=  1651s rss=   61.5MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1666s rss=   61.5MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1681s rss=   61.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1698s rss=   60.7MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1713s rss=   63.7MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1728s rss=   63.8MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1743s rss=   63.6MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1758s rss=   63.6MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1773s rss=   65.0MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1788s rss=   64.3MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1803s rss=   64.5MB fds= 531 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1818s rss=   64.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1833s rss=   62.9MB fds= 531 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1848s rss=   62.9MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1863s rss=   62.9MB fds= 319 thr=  9 | accept_inflight=283 panic_total=0
[sc3_slowloris] t=  1878s rss=   64.3MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1893s rss=   64.1MB fds= 526 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=  1908s rss=   64.1MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1923s rss=   64.1MB fds= 481 thr=  9 | accept_inflight=365 panic_total=0
[sc3_slowloris] t=  1938s rss=   64.2MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1953s rss=   63.7MB fds= 279 thr=  9 | accept_inflight=136 panic_total=0
[sc3_slowloris] t=  1968s rss=   65.2MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1983s rss=   65.2MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1998s rss=   63.1MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2013s rss=   63.1MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2028s rss=   62.6MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2043s rss=   62.6MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2058s rss=   63.6MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2073s rss=   63.6MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2088s rss=   62.7MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2103s rss=   62.7MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  2118s rss=   61.1MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
