[eg-soak] scenario=sc9_grpc_h3 duration=900s sample=5s scale=1 bin=/home/ubuntu/Code/eg-target/debug/expressgateway
[eg-soak] gateway ready pid=1247914 metrics=127.0.0.1:36005 — soaking 900s
[sc9_grpc_h3] t=   640s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   645s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   650s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   655s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   660s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   665s rss=   46.0MB fds=  13 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   670s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   675s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   680s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   685s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   690s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   695s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   700s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   705s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   710s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   716s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   721s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   726s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   731s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   736s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   741s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   746s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   751s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   756s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   761s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   766s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   771s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   776s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   781s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   786s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   791s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   796s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   801s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   806s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   811s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   816s rss=   46.1MB fds=  13 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   821s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   826s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   831s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   836s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   841s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   846s rss=   46.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   851s rss=   46.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   856s rss=   46.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   861s rss=   46.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   866s rss=   46.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   871s rss=   46.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   876s rss=   46.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   881s rss=   46.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   886s rss=   46.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   891s rss=   46.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   896s rss=   46.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   900s rss=   46.4MB fds=  12 thr=  9 | panic_total=0
=== SOAK sc9_grpc_h3 — DRIFT (finding) (900s, 181 samples) ===
      rss_kb [ DRIFT] rss_kb: drift — last-third median 47132 vs first-third 37738 (+24.9%), monotone 79% , slope 78.2700/sample — first=20136 last=47464 min=20136 max=47464
    vmhwm_kb [ DRIFT] vmhwm_kb: drift — last-third median 47132 vs first-third 37752 (+24.8%), monotone 91% , slope 75.9412/sample — first=20136 last=47464 min=20136 max=47464
         fds [BOUNDED] fds: bounded — last-third median 12 vs first-third 12 (+0.0%, within band 10% or non-monotone 99%) — first=11 last=12 min=11 max=13
     threads [BOUNDED] threads: bounded — last-third median 9 vs first-third 9 (+0.0%, within band 10% or non-monotone 100%) — first=10 last=9 min=9 max=10
  panic_total [BOUNDED] panic_total: stayed zero across the run — first=0 last=0 min=0 max=0
  load:
    grpc_h3_sustained: ok=682834 err=0
    grpc_h3_churn: ok=499572 err=0
[eg-soak] DONE scenario=sc9_grpc_h3 samples=181 overall=DRIFT(finding)
